title,year,genre,id
A Alma e a Gente,2003,12,
A Band Apart,2014,6,
A Beautiful Affair,2012,9,
A Beetle Called Derek,1990,10,
A Bender Abroad,2013,8,
A Better Life with Charles Nieman,2010,10,
A Big Country,1968,17,
A Bike Is Born,2002,8,
A Billion to One,2015,9,
A Biography of America,2000,12,
A Bit Much,2014,6,
A Bit Much,2014,9,
A Bit Much,2014,18,
A Bit of Fry and Laurie,1987,6,
A Bit of a Do,1989,6,
A Bit of a Do,1989,9,
A Bite of China II,2014,8,
A Brand New Life,1989,6,
A Brew Hope,2012,6,
A Brilliant Road Trip,2012,8,
A Brit and a Broad,2015,8,
A Brother for Joe,1961,21,
A Brush with the Mersey,2004,8,
A Bunch of Fives,1977,9,
A Bunch of Fives,1977,10,
A Bunch of Munsch,1991,4,
A Bunch of Munsch,1991,10,
A CARography,2002,8,
A Cabbie Abroad,2014,8,
A Cappella,2016,6,
A Cappella,2016,9,
A Cappella,2016,14,
A Car Called Wanda,2012,6,
A Car for Africa,1987,8,
A Cara do Futuro,2016,8,
A Casa Do Playhouse Disney,2009,6,
A Casa Do Playhouse Disney,2009,10,
A Casa Do Playhouse Disney,2009,15,
A Casa Nostra,2015,10,
A Casa da Conexa,2013,6,
A Casa das Sete Mulheres,2003,9,
A Casa das Sete Mulheres,2003,12,
A Casa das Sete Mulheres,2003,18,
A Casa das Sete Mulheres,2003,22,
A Casa do Disney Junior,2011,6,
A Casa do Disney Junior,2011,10,
A Casa do Disney Junior,2011,15,
A Casa do Disney Junior,2011,19,
A Casa do Herman,2016,6,
A Casa do Tio Carlos,1993,10,
A Case for the Court,1960,8,
A Case for the Court,1960,9,
A Castle and Sixpence,1954,3,
A Century of Women,1994,8,
A Century of Women,1994,9,
A Century of Women,1994,12,
A Certain Justice,1998,7,
A Certain Justice,1998,9,
A Certain Justice,1998,16,
A Chance of Thunder,1961,21,
A Chance to Sit Down,1981,9,
A Change in Degree,2011,6,
A Change of Face,2009,8,
A Child Against All Odds,2006,8,
A Choice of Coward,1964,9,
A Chopper Is Born,2002,8,
A Christmas Night with the Stars,1958,6,
A Christmas Night with the Stars,1958,14,
A Church to Yourself,1979,8,
A Church to Yourself,1979,12,
A Class Act,2014,6,
A Class by Himself,1971,6,
A Class of Cool,2015,6,
A Clear Word from Mud Creek,2006,10,
A Closer Look,1991,5,
A Closer Look,1991,8,
A Comicbook Orange,2007,5,
A Comicbook Orange,2007,17,
A Confeitaria,2011,10,
A Copa do Mundo no Recife,2015,8,
A Country Practice,1981,9,
A Country Practice,1981,18,
A Country Practice,1994,9,
